"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Use","Purpose of Use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Renovation","Transactional factors"
1983,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake (Tokyo)","5",94000000,"3LDK","70",,"","","","2019","RC","House","House","","",,"Category I Residential Zone",60,300,"1st quarter 2023","Done",""
1984,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake (Tokyo)","5",99000000,"3LDK","70",,"","","","2019","RC","House","House","","",,"Category I Residential Zone",60,300,"1st quarter 2023","Not yet",""
1985,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake (Tokyo)","4",100000000,"","80",,"","","","2019","S","House","House","","",,"Category I Residential Zone",60,300,"1st quarter 2023","Not yet",""
1986,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","8",62000000,"2LDK","55",,"","","","2010","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","",""
1987,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","10",75000000,"2LDK","80",,"","","","2006","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Not yet",""
1988,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","4",24000000,"1K","25",,"","","","2011","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Not yet",""
1989,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","8",87000000,"3LDK","70",,"","","","2010","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Not yet",""
1990,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","10",100000000,"3LDK","75",,"","","","2014","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
1991,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","4",50000000,"1LDK","50",,"","","","2004","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
1992,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","8",66000000,"2LDK","60",,"","","","2010","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
1993,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","10",60000000,"1LDK+S","65",,"","","","2006","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet","Dealings in which auction or arbiter participates"
1994,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","8",64000000,"2LDK","55",,"","","","2010","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
1995,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","10",62000000,"2LDK","55",,"","","","2014","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Done",""
1996,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","4",62000000,"2LDK","55",,"","","","2004","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
1997,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","4",50000000,"1LDK","50",,"","","","2004","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
1998,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","4",52000000,"1LDK","55",,"","","","2004","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","",""
1999,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","8",80000000,"3LDK","70",,"","","","2010","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
2000,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ariake","Ariake Tennis Nomori","4",55000000,"1LDK","60",,"","","","2004","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
2001,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Eitai","Monzennakacho","5",30000000,"1K","25",,"","","","2015","RC","House","","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","",""
2002,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Eitai","Monzennakacho","5",34000000,"1K","25",,"","","","2015","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
2003,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Eitai","Monzennakacho","5",34000000,"1K","25",,"","","","2015","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
2004,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Edagawa","Shiomi","6",26000000,"1K","20",,"","","","2006","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
2005,"Residential Land(Land Only)","Residential Area","13108","Tokyo","Koto Ward","Edagawa","Toyosu","14",130000000,"","80",1600000,"Semi-square Shaped","9.1","","","","","House","Southwest","Ward Road",6.0,"Quasi-industrial Zone",60,300,"2nd quarter 2023","",""
2006,"Residential Land(Land and Building)","Residential Area","13108","Tokyo","Koto Ward","Edagawa","Toyosu","14",75000000,"","80",,"Semi-rectangular Shaped","8.5","","","","","House","Southeast","Ward Road",21.6,"Quasi-industrial Zone",60,300,"2nd quarter 2023","",""
2007,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Edagawa","Toyosu","9",24000000,"1K","20",,"","","","2009","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Not yet",""
2008,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Edagawa","Toyosu","14",41000000,"3LDK","55",,"","","","1979","SRC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Done",""
2009,"Residential Land(Land Only)","Residential Area","13108","Tokyo","Koto Ward","Edagawa","Toyosu","14",82000000,"","50",1700000,"Rectangular Shaped","5.2","","","","","","Southwest","Ward Road",6.0,"Quasi-industrial Zone",60,300,"1st quarter 2023","",""
2010,"Residential Land(Land and Building)","Residential Area","13108","Tokyo","Koto Ward","Edagawa","Toyosu","13",32000000,"","80",,"Semi-rectangular Shaped","6.6","115","1971","","House","House","Southwest","Ward Road",21.8,"Quasi-industrial Zone",60,300,"1st quarter 2023","",""
2011,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Edagawa","Toyosu","7",63000000,"2LDK","70",,"","","","2000","RC","House","House","","",,"Quasi-industrial Zone",60,400,"1st quarter 2023","Not yet",""
2012,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Edagawa","Toyosu","9",77000000,"3LDK","80",,"","","","2001","SRC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Done",""
2013,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Edagawa","Toyosu","11",26000000,"1K","20",,"","","","2009","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
2014,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Edagawa","Toyosu","15",30000000,"3DK","50",,"","","","1983","SRC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
2015,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Edagawa","Toyosu","12",26000000,"3LDK","55",,"","","","1979","SRC","House","Other","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
2016,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Edagawa","Toyosu","13",76000000,"3LDK","65",,"","","","2014","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
2017,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Etchujima","Etchujima","3",27000000,"1LDK","45",,"","","","1986","RC","House","House","","",,"Category I Residential Zone",60,300,"2nd quarter 2023","Not yet",""
2018,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Etchujima","Etchujima","5",36000000,"2LDK","60",,"","","","1980","SRC","House","House","","",,"Category I Residential Zone",60,300,"2nd quarter 2023","Done",""
2019,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Etchujima","Etchujima","4",93000000,"4LDK","80",,"","","","2019","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Not yet",""
2020,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Etchujima","Etchujima","3",73000000,"3LDK","75",,"","","","1986","RC","House","House","","",,"Category I Residential Zone",60,300,"1st quarter 2023","Not yet",""
2021,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Etchujima","Etchujima","3",51000000,"3LDK","75",,"","","","1986","RC","House","House","","",,"Category I Residential Zone",60,300,"1st quarter 2023","Not yet",""
2022,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Etchujima","Monzennakacho","5",52000000,"2LDK","55",,"","","","1973","SRC","House","House","","",,"Category I Residential Zone",60,400,"2nd quarter 2023","Done",""
2023,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Etchujima","Monzennakacho","5",27000000,"2LDK","55",,"","","","1973","SRC","House","House","","",,"Category I Residential Zone",60,400,"1st quarter 2023","Not yet",""
2024,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ogibashi","Kiyosumishirakawa","11",29000000,"1K","25",,"","","","2014","RC","House","House","","",,"Quasi-industrial Zone",60,400,"2nd quarter 2023","",""
2025,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ogibashi","Kiyosumishirakawa","11",25000000,"","25",,"","","","2014","RC","House","House","","",,"Quasi-industrial Zone",60,400,"1st quarter 2023","",""
2026,"Residential Land(Land and Building)","Residential Area","13108","Tokyo","Koto Ward","Ogibashi","Sumiyoshi (Tokyo)","6",100000000,"","80",,"Semi-rectangular Shaped","6.2","100","2018","W","Other","Other","North","Ward Road",6.0,"Quasi-industrial Zone",60,300,"2nd quarter 2023","",""
2027,"Residential Land(Land and Building)","Residential Area","13108","Tokyo","Koto Ward","Ogibashi","Sumiyoshi (Tokyo)","6",450000000,"","135",,"Semi-rectangular Shaped","13.0","490","2021","RC","Housing Complex","House","North","Ward Road",6.0,"Commercial Zone",80,400,"2nd quarter 2023","",""
2028,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ogibashi","Sumiyoshi (Tokyo)","9",95000000,"3LDK","80",,"","","","2020","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Not yet",""
2029,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ogibashi","Sumiyoshi (Tokyo)","7",25000000,"1K","25",,"","","","2014","RC","House","House","","",,"Commercial Zone",80,400,"2nd quarter 2023","Not yet",""
2030,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ogibashi","Sumiyoshi (Tokyo)","10",21000000,"1K","20",,"","","","2011","RC","House","House","","",,"Quasi-industrial Zone",60,400,"2nd quarter 2023","Not yet",""
2031,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ogibashi","Sumiyoshi (Tokyo)","9",80000000,"3LDK","65",,"","","","2020","RC","","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Not yet",""
2032,"Residential Land(Land and Building)","Residential Area","13108","Tokyo","Koto Ward","Ogibashi","Sumiyoshi (Tokyo)","10",56000000,"","35",,"Semi-rectangular Shaped","4.2","70","2022","W","House","House","West","Private Road",4.5,"Quasi-industrial Zone",60,300,"1st quarter 2023","",""
2033,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ogibashi","Sumiyoshi (Tokyo)","10",66000000,"2LDK","55",,"","","","2013","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Done",""
2034,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ogibashi","Sumiyoshi (Tokyo)","7",55000000,"2DK","50",,"","","","2019","RC","House","House","","",,"Commercial Zone",80,500,"1st quarter 2023","Not yet",""
2035,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ogibashi","Sumiyoshi (Tokyo)","5",89000000,"3LDK","65",,"","","","2018","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
2036,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ogibashi","Sumiyoshi (Tokyo)","10",81000000,"3LDK","70",,"","","","2013","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
2037,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ogibashi","Sumiyoshi (Tokyo)","10",26000000,"1K","20",,"","","","2013","RC","House","House","","",,"Quasi-industrial Zone",60,400,"1st quarter 2023","Not yet",""
2038,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ogibashi","Sumiyoshi (Tokyo)","9",23000000,"1K","20",,"","","","2009","RC","","","","",,"Commercial Zone",80,400,"1st quarter 2023","Not yet",""
2039,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ogibashi","Sumiyoshi (Tokyo)","7",22000000,"1K","25",,"","","","2014","RC","House","House","","",,"Commercial Zone",80,400,"1st quarter 2023","Not yet",""
2040,"Residential Land(Land Only)","Residential Area","13108","Tokyo","Koto Ward","Ojima","Ojima (Tokyo)","8",15000000,"","30",460000,"Semi-rectangular Shaped","4.0","","","","","House","East","Private Road",2.0,"Quasi-industrial Zone",60,300,"2nd quarter 2023","",""
2041,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Ojima (Tokyo)","3",55000000,"3LDK","65",,"","","","2014","RC","House","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Not yet",""
2042,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Ojima (Tokyo)","9",76000000,"3LDK","105",,"","","","2004","RC","","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Not yet",""
2043,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Ojima (Tokyo)","3",64000000,"3LDK","75",,"","","","2014","RC","","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Done",""
2044,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Ojima (Tokyo)","7",27000000,"2LDK","55",,"","","","1970","SRC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,300,"1st quarter 2023","Not yet",""
2045,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Ojima (Tokyo)","1",8700000,"1K","15",,"","","","1987","SRC","House","Other","","",,"Quasi-industrial Zone",60,400,"1st quarter 2023","Not yet",""
2046,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Ojima (Tokyo)","6",36000000,"2LDK","55",,"","","","1982","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Done",""
2047,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Ojima (Tokyo)","2",52000000,"3LDK","65",,"","","","1996","SRC","House","House","","",,"Quasi-industrial Zone",60,400,"1st quarter 2023","",""
2048,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Ojima (Tokyo)","3",42000000,"2LDK+S","70",,"","","","1997","SRC","House","House","","",,"Category I Residential Zone",60,300,"1st quarter 2023","Not yet",""
2049,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Ojima (Tokyo)","4",49000000,"3LDK","65",,"","","","1997","SRC","House","House","","",,"Category II Residential Zone",60,400,"1st quarter 2023","Not yet",""
2050,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Kameido","10",44000000,"2LDK","60",,"","","","2003","SRC","","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","Not yet",""
2051,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Sumiyoshi (Tokyo)","6",71000000,"3LDK","85",,"","","","1997","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
2052,"Residential Land(Land and Building)","Residential Area","13108","Tokyo","Koto Ward","Ojima","Nishiojima","6",61000000,"","100",,"Semi-rectangular Shaped","8.0","210","1969","","","House","East","Ward Road",5.5,"Quasi-industrial Zone",60,300,"2nd quarter 2023","",""
2053,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Nishiojima","8",35000000,"2LDK","40",,"","","","1989","RC","","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","",""
2054,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Nishiojima","6",22000000,"1K","20",,"","","","2011","RC","","House","","",,"Quasi-industrial Zone",60,300,"2nd quarter 2023","",""
2055,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Nishiojima","3",46000000,"1LDK","40",,"","","","2019","RC","House","House","","",,"Commercial Zone",80,500,"2nd quarter 2023","Not yet","Dealings in which auction or arbiter participates"
2056,"Residential Land(Land and Building)","Residential Area","13108","Tokyo","Koto Ward","Ojima","Nishiojima","4",190000000,"","150",,"Semi-rectangular Shaped","8.0","210","2006","LS","Housing Complex","House","South","Private Road",3.8,"Quasi-industrial Zone",60,300,"1st quarter 2023","",""
2057,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Nishiojima","5",27000000,"1K","25",,"","","","2013","SRC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","Not yet",""
2058,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Nishiojima","7",33000000,"1K","25",,"","","","2022","RC","House","House","","",,"Quasi-industrial Zone",60,300,"1st quarter 2023","",""
2059,"Pre-owned Condominiums, etc.","","13108","Tokyo","Koto Ward","Ojima","Nishiojima","4",28000000,"1K","25",,"","","","2018","RC","House","House","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Not yet",""
